trailheadapp__Assigned_Date__c	trailheadapp__Badge__c	trailheadapp__Due_Date__c	trailheadapp__Finished_Date__c	trailheadapp__First_Attempted_Date__c	trailheadapp__Last_Attempted_Date__c	trailheadapp__Status__c	trailheadapp__User__c
	m-9442	2018-05-06T11:17:04.000Z				Assigned	User.016
	m-12558	2019-03-16T05:48:59.000Z				Assigned	User.016
	m-6824	2019-03-24T09:22:06.000Z				Assigned	User.015
	m-12597	2019-03-08T14:32:40.000Z				Assigned	User.005
	m-6800	2018-04-13T15:26:15.000Z				Assigned	User.020
	m-12575	2019-01-24T23:54:22.000Z				Assigned	User.023
	m-12558	2018-12-04T19:32:21.000Z				Assigned	User.017
	m-5208	2018-05-17T12:00:20.000Z				Assigned	User.011
	m-8447	2018-06-01T07:43:44.000Z				Assigned	User.018
	m-8447	2018-04-01T18:48:57.000Z				Assigned	User.031
	m-2649	2018-07-20T14:53:00.000Z				Assigned	User.001
	m-5214	2018-11-08T04:48:07.000Z				Assigned	User.020
	m-5232	2018-05-21T21:14:44.000Z				Assigned	User.017
	m-5197	2018-10-18T05:40:21.000Z				Assigned	User.001
	m-5253	2019-01-06T12:32:00.000Z				Assigned	User.018
	m-12455	2018-10-08T17:08:15.000Z				Assigned	User.003
	m-12597	2018-10-28T20:24:27.000Z				Assigned	User.000
	m-12597	2018-09-30T22:45:02.000Z				Assigned	User.012
	m-5232	2019-02-06T01:11:38.000Z				Assigned	User.023
	m-6802	2018-07-09T09:32:25.000Z				Assigned	User.021
	m-12598	2018-07-31T18:48:01.000Z				Assigned	User.020
	m-2653	2019-01-10T17:47:48.000Z				Assigned	User.015
	m-6824	2018-10-07T07:25:55.000Z				Assigned	User.018
	m-5228	2018-04-12T01:48:10.000Z				Assigned	User.011
	m-12558	2018-09-03T18:46:36.000Z				Assigned	User.015
	m-5234	2018-04-02T13:15:52.000Z				Assigned	User.006
	m-2653	2019-01-23T00:47:43.000Z				Assigned	User.003
	m-2651	2019-01-25T23:21:35.000Z				Assigned	User.017
	m-6703	2018-11-17T05:44:09.000Z				Assigned	User.000
	m-8441	2018-11-28T18:08:23.000Z				Assigned	User.016
	m-2645	2018-09-07T03:15:08.000Z				Assigned	User.018
	m-10844	2018-04-20T05:43:51.000Z				Assigned	User.005
	m-2655		2018-08-17T02:54:15.000Z	2018-12-27T05:28:47.000Z	2018-05-24T03:19:25.000Z	Completed	User.016
	m-2649		2018-06-08T01:17:40.000Z	2018-06-19T14:54:09.000Z	2019-03-12T00:48:30.000Z	Completed	User.037
	m-12600		2018-08-18T00:25:36.000Z	2018-07-26T02:43:52.000Z	2018-06-28T22:25:49.000Z	Completed	User.037
	m-2643		2018-08-09T00:42:46.000Z	2018-08-24T07:15:43.000Z	2018-06-28T02:23:43.000Z	Completed	User.011
	m-5214		2018-12-27T05:28:47.000Z	2019-01-17T03:58:24.000Z	2019-02-03T20:16:49.000Z	Completed	User.023
	m-2652		2018-06-19T14:54:09.000Z	2018-06-11T04:13:46.000Z	2018-11-18T08:51:51.000Z	Completed	User.000
	m-2651		2019-01-17T03:58:24.000Z	2018-12-22T16:13:34.000Z	2018-06-10T01:42:42.000Z	Completed	User.006
	m-2653		2018-06-11T04:13:46.000Z	2018-06-22T00:07:37.000Z	2018-08-17T02:54:15.000Z	Completed	User.031
	m-5232		2018-10-03T15:35:49.000Z	2018-05-13T07:00:53.000Z	2018-06-08T01:17:40.000Z	Completed	User.020
	m-5232		2018-12-22T16:13:34.000Z	2018-05-02T12:52:03.000Z	2018-08-09T00:42:46.000Z	Completed	User.006
	m-12491		2018-06-22T00:07:37.000Z	2018-07-23T15:29:59.000Z	2018-12-27T05:28:47.000Z	Completed	User.021
	m-10844		2018-05-13T07:00:53.000Z	2018-09-09T02:41:24.000Z	2018-06-19T14:54:09.000Z	Completed	User.002
	m-2645		2018-08-05T05:17:07.000Z	2019-02-28T11:29:28.000Z	2018-07-26T02:43:52.000Z	Completed	User.016
	m-12600		2018-05-02T12:52:03.000Z	2018-10-27T03:02:53.000Z	2018-08-24T07:15:43.000Z	Completed	User.017
	m-12597		2018-07-23T15:29:59.000Z	2018-08-21T15:28:19.000Z	2019-01-17T03:58:24.000Z	Completed	User.023
	m-6806		2018-09-09T02:41:24.000Z	2018-11-04T07:26:34.000Z	2018-06-11T04:13:46.000Z	Completed	User.019
	m-5191		2019-02-28T11:29:28.000Z	2018-10-27T17:52:38.000Z	2018-10-03T15:35:49.000Z	Completed	User.000
	m-2649		2018-10-27T03:02:53.000Z	2018-12-03T21:33:28.000Z	2018-09-17T13:40:35.000Z	Completed	User.016
	m-2646		2018-08-21T15:28:19.000Z	2018-06-02T04:24:37.000Z	2018-12-22T16:13:34.000Z	Completed	User.003
	m-6811		2018-11-04T07:26:34.000Z	2019-02-26T17:23:44.000Z	2018-06-22T00:07:37.000Z	Completed	User.015
	m-12558		2018-10-27T17:52:38.000Z	2018-06-04T15:12:43.000Z	2018-05-13T07:00:53.000Z	Completed	User.012
	m-10844		2018-12-03T21:33:28.000Z	2018-09-26T17:55:07.000Z	2018-08-05T05:17:07.000Z	Completed	User.019
	m-2654		2018-06-02T04:24:37.000Z	2019-01-06T07:37:42.000Z	2018-05-02T12:52:03.000Z	Completed	User.037
	m-6811		2018-06-04T15:12:43.000Z	2018-10-26T15:28:06.000Z	2018-09-09T02:41:24.000Z	Completed	User.023
	m-5232		2018-09-26T17:55:07.000Z	2018-11-17T18:33:30.000Z	2019-02-28T11:29:28.000Z	Completed	User.015
	m-12455		2019-01-06T07:37:42.000Z	2018-11-08T14:08:05.000Z	2018-10-27T03:02:53.000Z	Completed	User.002
	m-12491		2018-07-19T12:41:32.000Z	2018-11-04T11:19:40.000Z	2018-08-21T15:28:19.000Z	Completed	User.000
	m-6703		2018-10-26T15:28:06.000Z	2018-12-13T17:21:34.000Z	2018-11-04T07:26:34.000Z	Completed	User.019
	m-12582		2018-11-08T14:08:05.000Z	2019-02-09T13:13:49.000Z	2018-12-03T21:33:28.000Z	Completed	User.015
	m-2647		2018-12-13T17:21:34.000Z	2018-06-28T00:55:37.000Z	2019-02-26T17:23:44.000Z	Completed	User.011
	m-2648		2019-01-03T13:02:02.000Z	2019-03-20T21:46:12.000Z	2018-06-04T15:12:43.000Z	Completed	User.006
	m-12462		2019-02-09T13:13:49.000Z	2018-08-19T13:07:56.000Z	2018-09-26T17:55:07.000Z	Completed	User.016
	m-12455		2018-07-27T06:01:21.000Z	2018-12-06T15:47:46.000Z	2019-01-06T07:37:42.000Z	Completed	User.037
	m-6802		2019-03-20T21:46:12.000Z	2018-05-22T21:27:32.000Z	2018-10-26T15:28:06.000Z	Completed	User.015
	m-12600		2018-12-06T15:47:46.000Z	2018-10-01T07:35:06.000Z	2018-11-08T14:08:05.000Z	Completed	User.001
	m-12582		2018-07-07T09:58:04.000Z	2018-09-04T10:40:24.000Z	2018-11-04T11:19:40.000Z	Completed	User.018
	m-2649		2018-05-22T21:27:32.000Z	2019-01-02T15:06:04.000Z	2018-12-13T17:21:34.000Z	Completed	User.007
	m-6823		2018-09-15T02:02:36.000Z	2019-02-26T08:23:34.000Z	2019-01-03T13:02:02.000Z	Completed	User.019
	m-2641		2018-10-01T07:35:06.000Z	2018-11-22T16:37:11.000Z	2019-02-09T13:13:49.000Z	Completed	User.001
	m-2647		2018-09-04T10:40:24.000Z	2018-08-26T03:48:22.000Z	2018-07-27T06:01:21.000Z	Completed	User.023
	m-2656		2019-01-02T15:06:04.000Z	2018-06-23T11:53:28.000Z	2018-06-28T00:55:37.000Z	Completed	User.003
	m-5208		2019-02-26T08:23:34.000Z	2018-09-04T05:19:09.000Z	2019-03-20T21:46:12.000Z	Completed	User.007
	m-2641		2018-11-22T16:37:11.000Z	2018-04-13T19:07:45.000Z	2018-08-19T13:07:56.000Z	Completed	User.019
	m-12598		2018-08-26T03:48:22.000Z	2019-03-13T22:29:32.000Z	2018-12-06T15:47:46.000Z	Completed	User.001
	m-5205		2018-04-13T19:07:45.000Z	2018-07-05T14:00:40.000Z	2018-09-15T02:02:36.000Z	Completed	User.017
	m-9442		2019-03-13T22:29:32.000Z	2018-04-26T19:04:30.000Z	2018-10-01T07:35:06.000Z	Completed	User.006
	m-2656		2018-09-09T03:36:58.000Z	2018-07-14T10:44:35.000Z	2019-01-02T15:06:04.000Z	Completed	User.007
	m-5208		2018-07-05T14:00:40.000Z	2018-07-31T00:33:03.000Z	2019-02-26T08:23:34.000Z	Completed	User.015
	m-2651		2018-04-26T19:04:30.000Z	2018-07-14T03:24:00.000Z	2018-11-22T16:37:11.000Z	Completed	User.015
	m-2655		2018-09-24T12:55:31.000Z	2018-07-02T01:22:42.000Z	2018-08-26T03:48:22.000Z	Completed	User.017
	m-12497		2018-07-14T10:44:35.000Z	2018-11-30T17:42:57.000Z	2018-06-23T11:53:28.000Z	Completed	User.018
	m-5229		2018-07-14T03:24:00.000Z	2018-12-20T10:34:15.000Z	2018-04-13T19:07:45.000Z	Completed	User.019
	m-2655		2018-07-02T01:22:42.000Z	2019-03-25T02:11:57.000Z	2019-03-13T22:29:32.000Z	Completed	User.024
	m-2655		2018-11-30T17:42:57.000Z	2018-06-29T15:31:41.000Z	2018-04-15T11:55:29.000Z	Completed	User.000
	m-5232		2019-03-24T01:19:11.000Z	2018-05-29T20:04:49.000Z	2018-09-09T03:36:58.000Z	Completed	User.002
	m-5238		2018-12-20T10:34:15.000Z	2018-12-15T15:33:35.000Z	2018-07-05T14:00:40.000Z	Completed	User.031
	m-5191		2019-03-25T02:11:57.000Z	2018-10-27T09:08:29.000Z	2018-04-26T19:04:30.000Z	Completed	User.031
	m-2647		2018-06-29T15:31:41.000Z	2018-12-13T01:16:48.000Z	2018-09-24T12:55:31.000Z	Completed	User.001
	m-5228		2018-05-29T20:04:49.000Z	2019-01-01T19:58:42.000Z	2018-07-14T10:44:35.000Z	Completed	User.001
	m-2651		2018-12-15T15:33:35.000Z	2018-07-16T15:40:52.000Z	2018-07-31T00:33:03.000Z	Completed	User.021
	m-2650		2018-10-27T09:08:29.000Z	2018-05-29T19:54:23.000Z	2018-07-14T03:24:00.000Z	Completed	User.012
	m-6806		2019-01-01T19:58:42.000Z	2018-08-28T18:58:25.000Z	2018-11-30T17:42:57.000Z	Completed	User.016
	m-12575		2018-07-16T15:40:52.000Z	2018-12-08T09:46:15.000Z	2019-03-24T01:19:11.000Z	Completed	User.007
	m-5238		2018-05-29T19:54:23.000Z	2018-11-15T23:23:53.000Z	2018-12-20T10:34:15.000Z	Completed	User.000
	m-5208	2018-07-12T17:33:54.000Z		2018-09-19T13:41:01.000Z	2018-11-14T12:31:01.000Z	In-Progress	User.037
	m-10844	2018-07-09T02:18:04.000Z		2018-12-03T05:10:34.000Z	2018-09-23T10:34:36.000Z	In-Progress	User.023
	m-2654	2019-02-12T21:58:17.000Z		2018-05-19T19:55:52.000Z	2018-07-05T03:32:53.000Z	In-Progress	User.024
	m-11598	2018-11-01T15:47:18.000Z		2018-05-16T01:24:31.000Z	2018-03-29T15:52:20.000Z	In-Progress	User.012
	m-5208	2018-11-18T06:56:13.000Z		2018-05-19T10:39:46.000Z	2018-09-14T04:28:47.000Z	In-Progress	User.003
	m-2654	2019-03-16T17:03:31.000Z		2018-06-25T01:33:10.000Z	2018-12-16T08:36:43.000Z	In-Progress	User.007
	m-5191	2019-03-25T05:50:20.000Z		2018-08-19T22:59:43.000Z	2018-12-08T23:23:25.000Z	In-Progress	User.018
	m-5205	2018-04-15T03:05:52.000Z		2018-12-29T16:47:23.000Z	2018-05-09T03:31:18.000Z	In-Progress	User.000
	m-6824	2018-05-02T20:42:46.000Z		2018-05-03T02:07:55.000Z	2018-04-21T14:04:25.000Z	In-Progress	User.016
	m-5238	2019-01-25T17:49:36.000Z		2018-07-11T22:22:47.000Z	2018-07-25T02:07:18.000Z	In-Progress	User.013
	m-5214	2018-05-06T11:17:04.000Z		2019-01-15T02:26:08.000Z	2018-04-25T05:05:32.000Z	In-Progress	User.011
	m-2650	2018-07-08T07:48:56.000Z		2019-03-19T13:39:47.000Z	2018-08-13T00:36:10.000Z	In-Progress	User.017
	m-12491	2019-03-16T05:48:59.000Z		2019-02-25T18:40:22.000Z	2018-12-12T16:47:09.000Z	In-Progress	User.013
	m-12455	2019-03-24T09:22:06.000Z		2018-07-06T09:10:29.000Z	2019-03-20T05:45:48.000Z	In-Progress	User.016
	m-2653	2019-03-08T14:32:40.000Z		2019-01-05T06:43:51.000Z	2018-10-29T21:20:38.000Z	In-Progress	User.013
	m-2651	2018-04-13T15:26:15.000Z		2018-11-14T16:26:36.000Z	2018-05-23T09:19:34.000Z	In-Progress	User.019
	m-12719		2019-03-26T00:00:00.000Z	2019-03-26T00:00:00.000Z	2019-03-26T00:00:00.000Z	Completed	User.022
	m-5191		2019-03-22T00:00:00.000Z	2019-03-21T00:00:00.000Z	2019-03-22T00:00:00.000Z	Completed	User.026
	m-6824	2019-01-24T23:54:22.000Z		2018-04-15T19:36:29.000Z	2018-05-16T01:06:29.000Z	In-Progress	User.013
	m-6824	2018-12-04T19:32:21.000Z		2018-04-22T02:52:19.000Z	2018-08-02T06:12:28.000Z	In-Progress	User.011
	m-12511	2018-08-13T20:03:05.000Z		2018-12-22T13:04:29.000Z	2019-02-20T01:47:48.000Z	In-Progress	User.011
	m-2656	2018-05-17T12:00:20.000Z		2018-11-19T19:58:31.000Z	2018-05-08T09:09:32.000Z	In-Progress	User.005
	m-5214	2018-06-01T07:43:44.000Z		2018-06-20T23:38:52.000Z	2018-12-26T02:35:08.000Z	In-Progress	User.015
	m-12491	2018-04-01T18:48:57.000Z		2018-07-16T04:10:37.000Z	2019-01-20T12:45:21.000Z	In-Progress	User.007
	m-5205	2018-07-20T14:53:00.000Z		2018-09-14T10:47:37.000Z	2018-09-27T07:32:56.000Z	In-Progress	User.016
	m-12582	2018-11-08T04:48:07.000Z		2018-05-11T18:32:36.000Z	2018-08-30T18:52:18.000Z	In-Progress	User.012
	m-10844	2018-05-21T21:14:44.000Z		2019-03-28T06:35:22.000Z	2018-08-19T00:40:45.000Z	In-Progress	User.007
	m-5229	2018-10-18T05:40:21.000Z		2018-06-10T08:12:31.000Z	2018-11-27T21:47:42.000Z	In-Progress	User.002
	m-2645	2019-01-06T12:32:00.000Z		2019-01-19T12:34:42.000Z	2018-04-15T07:51:13.000Z	In-Progress	User.017
	m-8447	2018-10-08T17:08:15.000Z		2019-01-04T08:03:55.000Z	2019-03-08T03:34:10.000Z	In-Progress	User.000
	m-2649	2018-10-28T20:24:27.000Z		2018-11-07T17:57:25.000Z	2018-12-02T14:13:05.000Z	In-Progress	User.006
	m-11598	2018-09-30T22:45:02.000Z		2018-06-20T05:30:01.000Z	2018-11-04T14:56:56.000Z	In-Progress	User.020
	m-6722	2018-08-23T19:14:58.000Z		2019-03-18T08:10:20.000Z	2018-06-20T18:34:55.000Z	In-Progress	User.019
	m-2653	2019-02-06T01:11:38.000Z		2018-05-13T06:46:12.000Z	2018-12-23T12:48:42.000Z	In-Progress	User.016
	m-2648	2018-07-09T09:32:25.000Z		2019-01-22T01:16:14.000Z	2018-11-27T04:31:56.000Z	In-Progress	User.020
	m-6703	2018-07-31T18:48:01.000Z		2019-02-07T01:08:25.000Z	2018-05-13T10:04:18.000Z	In-Progress	User.003
	m-8447	2018-09-17T21:26:50.000Z		2018-05-17T14:46:50.000Z	2019-01-17T11:58:43.000Z	In-Progress	User.006
	m-2652			2018-10-29T00:41:40.000Z	2019-01-10T11:19:29.000Z	In-Progress	User.024
	m-2643			2018-10-14T16:00:00.000Z	2019-02-14T12:42:29.000Z	In-Progress	User.003
	m-12497			2018-08-28T17:23:20.000Z	2018-08-30T03:49:34.000Z	In-Progress	User.021
	m-6800			2019-03-07T19:40:40.000Z	2019-02-23T07:55:24.000Z	In-Progress	User.000
	m-2655			2019-01-19T23:08:01.000Z	2018-06-28T05:46:08.000Z	In-Progress	User.031
	m-12600			2018-12-15T05:07:33.000Z	2018-05-07T23:12:33.000Z	In-Progress	User.016
	m-10844			2018-05-23T13:32:39.000Z	2019-02-26T19:33:11.000Z	In-Progress	User.000
2019-04-15T00:00:00.000Z	m-10844	2019-04-15T00:00:00.000Z	2019-03-23T00:00:00.000Z	2019-03-22T00:00:00.000Z	2019-03-23T00:00:00.000Z	Completed	User.017
2019-04-25T00:00:00.000Z	m-12511	2019-04-25T00:00:00.000Z				Assigned	User.023
	m-5214		2019-03-25T00:00:00.000Z	2019-03-24T00:00:00.000Z	2019-03-25T00:00:00.000Z	Completed	User.002
	m-5197			2019-03-23T00:00:00.000Z	2019-03-26T00:00:00.000Z	In-Progress	User.022
	m-5205			2019-03-25T00:00:00.000Z	2019-03-26T00:00:00.000Z	In-Progress	User.015
	m-5208			2019-03-21T00:00:00.000Z	2019-03-24T00:00:00.000Z	In-Progress	User.005
	m-12462			2019-03-22T00:00:00.000Z	2019-03-23T00:00:00.000Z	In-Progress	User.022
2019-01-17T17:14:14.000Z	m-12719	2019-01-17T17:14:14.000Z	2018-09-13T05:35:40.000Z	2018-08-04T21:32:11.000Z	2019-01-06T10:12:24.000Z	Completed	User.011
2018-06-01T15:55:59.000Z	m-2656	2018-06-01T15:55:59.000Z	2018-06-28T02:23:43.000Z	2019-03-16T17:29:41.000Z	2018-06-24T19:46:34.000Z	Completed	User.031
2019-01-07T15:36:21.000Z	m-6703	2019-01-07T15:36:21.000Z	2019-02-03T20:16:49.000Z	2018-08-14T12:58:55.000Z	2019-01-13T10:44:59.000Z	Completed	User.005
2018-11-01T21:29:31.000Z	m-7471	2018-11-01T21:29:31.000Z	2018-06-08T01:17:40.000Z	2018-04-13T16:19:09.000Z	2018-12-17T11:34:47.000Z	Completed	User.017
2018-04-19T19:46:37.000Z	m-7468	2018-04-19T19:46:37.000Z	2018-08-09T00:42:46.000Z	2019-02-12T22:04:35.000Z	2018-06-30T23:33:49.000Z	Completed	User.037
2019-01-23T10:36:14.000Z	m-2676	2019-01-23T10:36:14.000Z	2018-06-19T14:54:09.000Z	2018-07-10T17:50:10.000Z	2018-11-20T17:36:41.000Z	Completed	User.019
	m-2647			2018-09-17T12:38:08.000Z	2018-06-17T11:46:25.000Z	In-Progress	User.017
	m-2656			2018-06-21T01:18:30.000Z	2018-03-31T10:15:33.000Z	In-Progress	User.013
	m-2653			2019-03-10T10:52:42.000Z	2018-09-23T01:06:18.000Z	In-Progress	User.005
	m-2643			2018-05-22T21:52:16.000Z	2018-08-29T23:36:06.000Z	In-Progress	User.020
	m-6806			2018-09-03T13:06:25.000Z	2018-05-05T16:20:00.000Z	In-Progress	User.000
	m-5191			2019-02-25T04:49:18.000Z	2018-11-11T11:38:05.000Z	In-Progress	User.019
	m-11598			2018-05-05T18:09:38.000Z	2019-01-29T17:25:57.000Z	In-Progress	User.019
2018-11-14T03:37:34.000Z	m-4849	2018-11-14T03:37:34.000Z	2019-01-17T03:58:24.000Z	2018-09-23T05:30:05.000Z	2018-07-05T11:25:26.000Z	Completed	User.017
2018-11-13T10:23:46.000Z	m-12550	2018-11-13T10:23:46.000Z	2018-09-17T13:40:35.000Z	2018-11-17T03:12:52.000Z	2018-07-31T07:33:01.000Z	Completed	User.020
2018-09-09T23:22:42.000Z	m-9442	2018-09-09T23:22:42.000Z	2018-12-22T16:13:34.000Z	2019-03-10T19:06:20.000Z	2019-01-26T01:10:13.000Z	Completed	User.023
2018-08-09T18:09:50.000Z	m-7080	2018-08-09T18:09:50.000Z	2018-07-23T15:29:59.000Z	2019-03-06T22:00:36.000Z	2019-02-04T17:15:46.000Z	Completed	User.019
2018-09-22T10:02:38.000Z	m-12478	2018-09-22T10:02:38.000Z	2018-11-04T07:26:34.000Z	2018-07-02T04:37:00.000Z	2019-03-28T11:37:40.000Z	Completed	User.017
2019-01-22T10:52:13.000Z	m-9500	2019-01-22T10:52:13.000Z	2018-10-27T17:52:38.000Z	2018-10-01T20:10:54.000Z	2018-10-10T17:57:59.000Z	Completed	User.019
2019-01-29T05:05:34.000Z	m-12478	2019-01-29T05:05:34.000Z	2018-06-02T04:24:37.000Z	2018-12-23T21:14:55.000Z	2018-12-26T23:36:44.000Z	Completed	User.031
2018-07-10T13:22:16.000Z	m-12606	2018-07-10T13:22:16.000Z	2018-06-04T15:12:43.000Z	2018-10-17T17:38:41.000Z	2018-12-06T01:36:12.000Z	Completed	User.024
2019-03-26T13:35:38.000Z	m-12493	2019-03-26T13:35:38.000Z	2018-11-04T11:19:40.000Z	2019-02-04T13:36:09.000Z	2019-01-20T08:14:11.000Z	Completed	User.031
2018-04-08T14:25:35.000Z	m-12475	2018-04-08T14:25:35.000Z	2019-01-03T13:02:02.000Z	2018-05-09T19:13:08.000Z	2018-05-16T19:04:01.000Z	Completed	User.020
2018-05-05T05:03:37.000Z	m-6800	2018-05-05T05:03:37.000Z	2019-02-09T13:13:49.000Z	2018-06-16T15:21:50.000Z	2018-06-05T22:13:51.000Z	Completed	User.017
	m-5197	2019-01-12T02:35:14.000Z				Assigned	User.007
	m-6802	2019-02-05T06:47:44.000Z				Assigned	User.013
	m-12537	2019-01-18T15:33:39.000Z				Assigned	User.023
	m-12452	2018-06-01T15:55:59.000Z				Assigned	User.013
	m-7546	2019-01-07T15:36:21.000Z				Assigned	User.018
	m-9102	2018-05-09T17:09:12.000Z				Assigned	User.037
	m-9447	2018-12-31T16:41:07.000Z				Assigned	User.000
	m-9102	2018-11-16T01:42:58.000Z				Assigned	User.006
	m-9444	2018-11-29T23:36:14.000Z				Assigned	User.015
	m-5764	2019-03-04T00:12:42.000Z				Assigned	User.000
	m-2654	2018-11-01T21:29:31.000Z				Assigned	User.021
	m-2646	2019-02-06T23:00:03.000Z				Assigned	User.013
	m-9501	2018-04-19T19:46:37.000Z				Assigned	User.021
	m-5280	2018-12-10T01:46:53.000Z				Assigned	User.018
	m-10202	2019-01-23T10:36:14.000Z				Assigned	User.016
	m-12545	2018-10-03T09:50:32.000Z				Assigned	User.031
	m-7063	2018-09-27T18:09:24.000Z				Assigned	User.016
	m-8142	2018-11-14T03:37:34.000Z				Assigned	User.000
	m-5896	2018-12-21T11:27:54.000Z				Assigned	User.016
	m-9729	2018-04-08T23:31:28.000Z				Assigned	User.006
	m-7429	2018-11-13T10:23:46.000Z				Assigned	User.016
	m-2658	2018-09-09T23:22:42.000Z				Assigned	User.006
	m-7468	2018-04-23T04:23:18.000Z				Assigned	User.019
